time,variable,value
1726724218.359866895,control_signal,4735.0
1726724218.359866895,consumer_spawned,23
1726724220.463838358,total_needed,67.0
1726724220.463838358,error,4524.0
1726724220.463838358,control_signal,4348.5
1726724220.463838358,consumer_spawned,25
1726724222.574634665,total_needed,58.0
1726724222.574634665,error,4003.0
1726724222.574634665,control_signal,3742.5
1726724222.574634665,consumer_spawned,27
1726724224.708203594,total_needed,62.0
1726724224.708203594,error,4022.0
1726724224.708203594,control_signal,4031.5
1726724224.708203594,consumer_spawned,28
1726724226.814655194,total_needed,51.0
1726724226.814655194,error,3535.0
1726724226.814655194,control_signal,3291.5
1726724226.814655194,consumer_spawned,27
1726724228.932778481,total_needed,47.0
1726724228.932778481,error,3197.0
1726724228.932778481,control_signal,3028.0
1726724228.932778481,consumer_spawned,27
1726724231.44260439,total_needed,43.0
1726724231.44260439,error,2903.0
1726724231.44260439,control_signal,2756.0
1726724231.44260439,consumer_spawned,27
1726724233.153683188,total_needed,36.0
1726724233.153683188,error,2531.0
1726724233.153683188,control_signal,2345.0
1726724233.153683188,consumer_spawned,29
1726724235.254708939,total_needed,39.0
1726724235.254708939,error,2531.0
1726724235.254708939,control_signal,2531.0
1726724235.254708939,consumer_spawned,30
1726724237.374615063,total_needed,39.0
1726724237.374615063,error,2531.0
1726724237.374615063,control_signal,2531.0
1726724237.374615063,consumer_spawned,32
1726724239.461755210,total_needed,39.0
1726724239.461755210,error,2531.0
1726724239.461755210,control_signal,2531.0
1726724239.461755210,consumer_spawned,29
1726724241.557732334,total_needed,39.0
1726724241.557732334,error,2531.0
1726724241.557732334,control_signal,2531.0
1726724241.557732334,consumer_spawned,31
1726724243.653977033,total_needed,39.0
1726724243.653977033,error,2531.0
1726724243.653977033,control_signal,2531.0
1726724243.653977033,consumer_spawned,29
1726724245.768114673,total_needed,39.0
1726724245.768114673,error,2531.0
1726724245.768114673,control_signal,2531.0
1726724245.768114673,consumer_spawned,29
1726724247.874729434,total_needed,-20.0
1726724247.874729434,error,15.0
1726724247.874729434,control_signal,-1243.0
1726724247.874729434,consumer_spawned,28
1726724249.986418553,total_needed,0.0
1726724249.986418553,error,6.0
1726724249.986418553,control_signal,1.5
1726724249.986418553,consumer_spawned,29
1726724252.117324912,total_needed,21.0
1726724252.117324912,error,931.0
1726724252.117324912,control_signal,1393.5
1726724252.117324912,consumer_spawned,28
1726724254.237802171,total_needed,11.0
1726724254.237802171,error,790.0
1726724254.237802171,control_signal,719.5
1726724254.237802171,consumer_spawned,21
1726724256.370780330,total_needed,8.0
1726724256.370780330,error,633.0
1726724256.370780330,control_signal,554.5
1726724256.370780330,consumer_spawned,11
1726724258.515051489,total_needed,5.0
1726724258.515051489,error,465.0
1726724258.515051489,control_signal,381.0
1726724258.515051489,consumer_spawned,8
1726724260.644611341,total_needed,3.0
1726724260.644611341,error,305.0
1726724260.644611341,control_signal,225.0
1726724260.644611341,consumer_spawned,5
1726724262.777839055,total_needed,1.0
1726724262.777839055,error,155.0
1726724262.777839055,control_signal,80.0
1726724262.777839055,consumer_spawned,3
1726724264.905616262,total_needed,-2.0
1726724264.905616262,error,1.0
1726724264.905616262,control_signal,-76.0
1726724264.905616262,consumer_spawned,1
1726724267.30379623,total_needed,-1.0
1726724267.30379623,error,0.0
1726724267.30379623,control_signal,-0.5
1726724267.30379623,consumer_spawned,1
